alpha0,alpha1,alpha2,alpha3,Cx0Mean,Cy0Mean,Cm0Mean, Cx1Mean,Cy1Mean,Cm1Mean, Cx2Mean,Cy2Mean,Cm2Mean, Cx3Mean,Cy3Mean,Cm3Mean,Flag,,,SumCx,SumCy
-3,0,-10,-20,0.7465,0.718378,-0.24194,1.110896,0.954539,-0.277623,2.709655,2.357732,-0.509659,0.745261,1.311629,-0.370208,NOTCONVERGED,,,5.312312,5.342278
-1,0,-10,-20,2.016128,1.280403,-0.338928,0.998211,0.886065,-0.262102,2.374716,2.23256,-0.501037,0.782883,1.31306,-0.35072,NOTCONVERGED,,,6.171938,5.712088
1,0,-10,-20,1.940079,1.221064,-0.340953,1.006556,0.890438,-0.263007,2.381231,2.227314,-0.499823,0.78455,1.314955,-0.351641,NOTCONVERGED,,,6.112416,5.653771
3,0,-10,-20,1.837075,1.148481,-0.338758,1.015142,0.895539,-0.264174,2.388417,2.219344,-0.497914,0.778333,1.314078,-0.354025,NOTCONVERGED,,,6.018967,5.577442
5,0,-10,-20,1.721973,1.070036,-0.33455,1.024544,0.900748,-0.265241,2.397372,2.211354,-0.49614,0.773681,1.313602,-0.356002,NOTCONVERGED,,,5.91757,5.49574
-5,-10,-8,-20,0.729677,0.777924,-0.26696,1.607898,1.400707,-0.311506,2.725637,2.338672,-0.527355,0.772191,1.328117,-0.361188,NOTCONVERGED,,,5.835403,5.84542
-3,-10,-8,-20,0.797802,0.76306,-0.25738,1.599983,1.395028,-0.310544,2.630136,2.278048,-0.520431,0.776516,1.33047,-0.359818,NOTCONVERGED,,,5.804437,5.766606
-1,-10,-8,-20,2.11503,1.337725,-0.357278,1.486135,1.320959,-0.295564,2.31322,2.162684,-0.51204,0.900504,1.380067,-0.327896,NOTCONVERGED,,,6.814889,6.201435
1,-10,-8,-20,2.133287,1.302877,-0.367787,1.393205,1.127838,-0.240271,2.42482,2.238261,-0.529965,1.795809,2.119059,-0.386937,NOTCONVERGED,,,7.747121,6.788035
3,-10,-8,-20,2.026033,1.230124,-0.36619,1.421584,1.149922,-0.245263,2.42915,2.229524,-0.527781,1.759073,2.083441,-0.379815,NOTCONVERGED,,,7.63584,6.693011
