alpha0,alpha1,alpha2,alpha3,Cx0Mean,Cy0Mean,Cm0Mean, Cx1Mean,Cy1Mean,Cm1Mean, Cx2Mean,Cy2Mean,Cm2Mean, Cx3Mean,Cy3Mean,Cm3Mean,Flag,,,SumCx,SumCy
3,-8,-6,-18,2.040293,1.254036,-0.375232,1.465551,1.151443,-0.256807,2.293585,2.096326,-0.524306,1.855619,2.138555,-0.41081,CONVERGED,,,7.655048,6.64036
5,-8,-6,-18,1.916388,1.170078,-0.370101,1.469063,1.149746,-0.256031,2.307982,2.092992,-0.522883,1.865766,2.140828,-0.410602,CONVERGED,,,7.559199,6.553644
-5,-6,-6,-18,0.788629,0.838421,-0.290408,1.556101,1.1684,-0.270669,2.667514,2.271318,-0.541158,1.928086,2.129183,-0.40224,NOTCONVERGED,,,6.94033,6.407322
-3,-6,-6,-18,0.857974,0.819062,-0.27957,1.54725,1.163225,-0.269703,2.584685,2.219071,-0.5353,1.926579,2.135897,-0.404246,NOTCONVERGED,,,6.916488,6.337255
-1,-6,-6,-18,2.221273,1.390043,-0.37411,1.427564,1.116977,-0.262495,2.267021,2.097356,-0.525454,1.839523,2.127999,-0.409594,CONVERGED,,,7.755381,6.732375
1,-6,-6,-18,2.141377,1.327759,-0.376496,1.434496,1.118676,-0.262675,2.275499,2.094639,-0.524384,1.845831,2.129767,-0.409475,CONVERGED,,,7.697203,6.670841
3,-6,-6,-18,2.033235,1.251351,-0.374203,1.443723,1.12109,-0.262933,2.289179,2.092728,-0.523462,1.854259,2.132169,-0.409468,CONVERGED,,,7.620396,6.597338
5,-6,-6,-18,1.911083,1.168246,-0.369498,1.454637,1.124266,-0.263419,2.304786,2.090807,-0.522583,1.863796,2.135179,-0.409494,CONVERGED,,,7.534302,6.518498
-5,-4,-6,-18,0.786051,0.835568,-0.288952,1.506673,1.121575,-0.273488,2.658109,2.26444,-0.539858,1.924988,2.118035,-0.399993,NOTCONVERGED,,,6.875821,6.339618
-3,-4,-6,-18,0.857674,0.817417,-0.278326,1.496702,1.11565,-0.272298,2.573413,2.210786,-0.533434,1.924341,2.125672,-0.402226,CONVERGED,,,6.85213,6.269525
-1,-4,-6,-18,2.211058,1.386404,-0.373073,1.361882,1.058152,-0.261625,2.258533,2.089821,-0.523433,1.841624,2.119047,-0.407792,CONVERGED,,,7.673097,6.653424
1,-4,-6,-18,2.130832,1.32396,-0.375311,1.370472,1.060989,-0.262175,2.26679,2.08663,-0.522029,1.848069,2.12114,-0.407816,CONVERGED,,,7.616163,6.592719
3,-4,-6,-18,2.021944,1.24708,-0.372826,1.380445,1.064111,-0.262518,2.281451,2.086201,-0.521874,1.855933,2.123111,-0.407618,CONVERGED,,,7.539773,6.520503
5,-4,-6,-18,1.90021,1.16412,-0.368111,1.392134,1.068187,-0.263292,2.297116,2.084397,-0.521046,1.86454,2.125389,-0.407415,CONVERGED,,,7.454,6.442093
-5,-2,-6,-18,0.780544,0.830033,-0.28681,1.42939,1.058115,-0.272075,2.645868,2.254751,-0.537777,1.918385,2.099987,-0.396502,NOTCONVERGED,,,6.774187,6.242886
-3,-2,-6,-18,0.854646,0.813728,-0.276378,1.41924,1.051781,-0.270639,2.560579,2.201053,-0.531415,1.921092,2.110473,-0.39907,NOTCONVERGED,,,6.755557,6.177035
-1,-2,-6,-18,2.198677,1.381911,-0.371828,1.280474,0.989353,-0.257914,2.248804,2.081332,-0.521226,1.844184,2.10816,-0.405424,CONVERGED,,,7.572139,6.560756
1,-2,-6,-18,2.116949,1.318402,-0.37347,1.288183,0.991938,-0.25827,2.258062,2.078936,-0.520215,1.84987,2.109066,-0.405041,CONVERGED,,,7.513064,6.498342
3,-2,-6,-18,2.008474,1.241729,-0.371052,1.299336,0.996009,-0.258984,2.272639,2.07845,-0.52003,1.857884,2.111628,-0.405114,CONVERGED,,,7.438333,6.427816
5,-2,-6,-18,1.887441,1.159226,-0.36657,1.312086,1.001007,-0.260067,2.286882,2.0753,-0.518543,1.866314,2.113873,-0.404993,CONVERGED,,,7.352723,6.349406
-5,0,-6,-18,0.778264,0.827749,-0.285668,1.336643,0.986007,-0.268223,2.625717,2.240417,-0.534658,1.906395,2.075608,-0.391444,NOTCONVERGED,,,6.647019,6.129781
-3,0,-6,-18,0.852493,0.8112,-0.275008,1.327701,0.979757,-0.266661,2.543762,2.188696,-0.528714,1.914473,2.090641,-0.395021,NOTCONVERGED,,,6.638429,6.070294
-1,0,-6,-18,2.185454,1.37688,-0.370247,1.190428,0.915285,-0.252565,2.239102,2.072936,-0.519186,1.847033,2.095912,-0.402789,CONVERGED,,,7.462017,6.461013
1,0,-6,-18,2.101637,1.312246,-0.371416,1.199604,0.918966,-0.253372,2.248759,2.070941,-0.518311,1.852643,2.097233,-0.40266,CONVERGED,,,7.402643,6.399386
3,0,-6,-18,1.994572,1.236044,-0.369134,1.210544,0.923293,-0.254168,2.263414,2.070045,-0.517899,1.859849,2.098721,-0.402308,CONVERGED,,,7.328379,6.328103
5,0,-6,-18,1.872978,1.15311,-0.364376,1.223209,0.928467,-0.255216,2.277831,2.067282,-0.516634,1.867849,2.100633,-0.402115,CONVERGED,,,7.241867,6.249492
-5,-10,-4,-18,0.786388,0.822139,-0.278352,0.714387,0.85923,-0.263508,2.337714,1.993958,-0.507387,1.406295,1.628536,-0.322963,NOTCONVERGED,,,5.244784,5.303863
-3,-10,-4,-18,0.920141,0.830577,-0.268008,0.721813,0.863163,-0.263056,2.240169,1.9352,-0.499024,1.364709,1.601183,-0.319729,NOTCONVERGED,,,5.246832,5.230123
-1,-10,-4,-18,2.182594,1.380337,-0.37262,0.573145,0.714208,-0.224794,2.106118,1.924868,-0.510353,2.024689,2.209785,-0.413249,NOTCONVERGED,,,6.886546,6.229198
1,-10,-4,-18,2.098886,1.314873,-0.373884,0.563638,0.707385,-0.223528,2.118847,1.925097,-0.509848,2.039781,2.215777,-0.4133,NOTCONVERGED,,,6.821152,6.163132
3,-10,-4,-18,1.990383,1.237506,-0.37122,0.559275,0.703986,-0.223022,2.133518,1.924506,-0.508948,2.052173,2.21858,-0.412679,NOTCONVERGED,,,6.735349,6.084578
5,-10,-4,-18,1.869374,1.154125,-0.366282,0.555949,0.701462,-0.222665,2.150993,1.924531,-0.508284,2.064402,2.221397,-0.41233,NOTCONVERGED,,,6.640718,6.001515
-5,-8,-4,-18,0.821469,0.866168,-0.297823,1.505476,1.151754,-0.252307,2.445561,2.08468,-0.528998,1.941929,2.131385,-0.401555,NOTCONVERGED,,,6.714435,6.233987
-3,-8,-4,-18,0.918176,0.856287,-0.286939,1.479564,1.136277,-0.249199,2.365412,2.03467,-0.522407,1.944424,2.140963,-0.404251,NOTCONVERGED,,,6.707576,6.168197
-1,-8,-4,-18,2.244729,1.423009,-0.385307,1.463875,1.15446,-0.257757,2.107669,1.944331,-0.516921,1.856739,2.142844,-0.411659,CONVERGED,,,7.673012,6.664644
1,-8,-4,-18,2.153206,1.353519,-0.385713,1.468921,1.154619,-0.257405,2.117955,1.942674,-0.515628,1.864402,2.144921,-0.411632,CONVERGED,,,7.604484,6.595733
3,-8,-4,-18,2.03907,1.272497,-0.38235,1.473163,1.15358,-0.256703,2.133356,1.942512,-0.514653,1.873528,2.147054,-0.411583,CONVERGED,,,7.519117,6.515643
5,-8,-4,-18,1.911756,1.185633,-0.376892,1.474539,1.150491,-0.255819,2.149454,1.941919,-0.513815,1.883242,2.148481,-0.411059,CONVERGED,,,7.418991,6.426524
-5,-6,-4,-18,0.821769,0.866746,-0.297939,1.566718,1.173947,-0.271883,2.448976,2.087689,-0.529821,1.939678,2.134985,-0.402452,NOTCONVERGED,,,6.777141,6.263367
-3,-6,-4,-18,0.917078,0.857493,-0.287735,1.554141,1.166641,-0.270574,2.368591,2.038001,-0.523206,1.939013,2.144402,-0.405242,NOTCONVERGED,,,6.778823,6.206537
-1,-6,-4,-18,2.237897,1.420819,-0.384521,1.440062,1.122667,-0.263471,2.101224,1.93908,-0.515301,1.856318,2.137233,-0.410685,CONVERGED,,,7.635501,6.619799
1,-6,-4,-18,2.148008,1.351795,-0.38521,1.448752,1.125308,-0.263998,2.114522,1.940209,-0.515163,1.862548,2.138739,-0.410496,CONVERGED,,,7.57383,6.556051
3,-6,-4,-18,2.032106,1.270064,-0.381434,1.457041,1.126987,-0.263936,2.128699,1.93911,-0.513897,1.871274,2.140776,-0.410242,CONVERGED,,,7.48912,6.476937
5,-6,-4,-18,1.906351,1.183592,-0.376087,1.468557,1.13053,-0.264626,2.146459,1.939503,-0.513214,1.880271,2.143222,-0.410218,CONVERGED,,,7.401638,6.396847
-5,-4,-4,-18,0.821359,0.864322,-0.296415,1.518305,1.127847,-0.274825,2.438549,2.08026,-0.528264,1.935413,2.12354,-0.40024,NOTCONVERGED,,,6.713626,6.195969
-3,-4,-4,-18,0.921524,0.857351,-0.286515,1.505568,1.120567,-0.273624,2.356174,2.029574,-0.521424,1.934793,2.132714,-0.402783,NOTCONVERGED,,,6.718059,6.140206
-1,-4,-4,-18,2.227886,1.417232,-0.383563,1.374928,1.064394,-0.262843,2.094143,1.933063,-0.513799,1.857735,2.127974,-0.408763,CONVERGED,,,7.554692,6.542663
1,-4,-4,-18,2.135506,1.346925,-0.383552,1.384357,1.067604,-0.263439,2.106482,1.932921,-0.513021,1.864028,2.1292,-0.408426,CONVERGED,,,7.490373,6.47665
3,-4,-4,-18,2.022436,1.266403,-0.380391,1.394804,1.070951,-0.263921,2.122337,1.933778,-0.512631,1.872221,2.13143,-0.408294,CONVERGED,,,7.411798,6.402562
5,-4,-4,-18,1.895117,1.179312,-0.374599,1.408323,1.076002,-0.265061,2.138973,1.93324,-0.51156,1.880611,2.133226,-0.40786,CONVERGED,,,7.323024,6.32178
-5,-2,-4,-18,0.820565,0.861294,-0.294781,1.441067,1.064793,-0.273783,2.424132,2.069738,-0.52587,1.928486,2.105459,-0.396491,NOTCONVERGED,,,6.61425,6.101284
-3,-2,-4,-18,0.933597,0.859438,-0.284841,1.425409,1.055546,-0.271712,2.337389,2.017002,-0.51893,1.929153,2.116286,-0.399662,NOTCONVERGED,,,6.625548,6.048272
-1,-2,-4,-18,2.214537,1.411861,-0.381807,1.293766,0.996048,-0.259364,2.08628,1.926118,-0.511981,1.859634,2.11614,-0.406124,CONVERGED,,,7.454217,6.450167
1,-2,-4,-18,2.121613,1.341398,-0.381802,1.303759,0.999846,-0.260122,2.09888,1.926303,-0.511467,1.865712,2.117628,-0.405949,CONVERGED,,,7.389964,6.385175
3,-2,-4,-18,2.009265,1.261324,-0.378803,1.314403,1.003569,-0.260712,2.112621,1.925334,-0.510258,1.873085,2.118686,-0.40542,CONVERGED,,,7.309374,6.308913
5,-2,-4,-18,1.882737,1.174187,-0.372997,1.328022,1.008925,-0.261884,2.130853,1.926263,-0.509787,1.881809,2.121055,-0.405449,CONVERGED,,,7.223421,6.23043
-5,0,-4,-18,0.819667,0.857512,-0.292535,1.34566,0.992614,-0.270174,2.402361,2.054253,-0.522477,1.902631,2.069653,-0.389472,NOTCONVERGED,,,6.470319,5.974032
-3,0,-4,-18,0.949019,0.861859,-0.282665,1.331046,0.981774,-0.267156,2.316119,2.002467,-0.515986,1.922107,2.097038,-0.395832,NOTCONVERGED,,,6.518291,5.943138
-1,0,-4,-18,2.200878,1.406885,-0.380418,1.203618,0.922089,-0.254111,2.076395,1.917639,-0.50974,1.861616,2.10326,-0.403331,CONVERGED,,,7.342507,6.349873
1,0,-4,-18,2.10803,1.336023,-0.380119,1.214388,0.926605,-0.255175,2.08952,1.918152,-0.50929,1.868099,2.105138,-0.403318,CONVERGED,,,7.280037,6.285918
3,0,-4,-18,1.993808,1.254878,-0.376604,1.226304,0.931459,-0.256217,2.104769,1.918082,-0.508396,1.874499,2.105554,-0.402777,CONVERGED,,,7.19938,6.209973
5,0,-4,-18,1.868031,1.167922,-0.370835,1.23832,0.936025,-0.25703,2.122992,1.919101,-0.507968,1.882948,2.10766,-0.402698,CONVERGED,,,7.112291,6.130708
-5,-10,-2,-18,0.833556,0.855755,-0.285883,0.71415,0.859673,-0.264132,2.126574,1.817197,-0.493991,1.427617,1.645483,-0.325334,NOTCONVERGED,,,5.101897,5.178108
-3,-10,-2,-18,2.216457,1.449322,-0.372982,0.637938,0.763848,-0.235994,1.913762,1.754041,-0.496443,1.935476,2.140276,-0.400934,NOTCONVERGED,,,6.703633,6.107487
-1,-10,-2,-18,2.195851,1.409483,-0.382557,0.569947,0.712747,-0.224822,1.936665,1.765247,-0.498878,2.045538,2.220032,-0.413986,NOTCONVERGED,,,6.748001,6.107509
1,-10,-2,-18,2.102672,1.337726,-0.382271,0.561358,0.706609,-0.223715,1.951595,1.767447,-0.498478,2.062178,2.227432,-0.414783,NOTCONVERGED,,,6.677803,6.039214
3,-10,-2,-18,1.988968,1.256109,-0.378661,0.558272,0.704412,-0.223569,1.969041,1.76978,-0.498078,2.06958,2.225365,-0.41262,NOTCONVERGED,,,6.585861,5.955666
5,-10,-2,-18,1.863356,1.16895,-0.372841,0.55673,0.702571,-0.22323,1.987086,1.771443,-0.497435,2.078749,2.224496,-0.411282,NOTCONVERGED,,,6.485921,5.86746
-5,-8,-2,-18,0.868918,0.899886,-0.305434,1.536566,1.171442,-0.256781,2.218843,1.896035,-0.514435,1.939214,2.129363,-0.400453,NOTCONVERGED,,,6.563541,6.096726
-3,-8,-2,-18,2.252861,1.476012,-0.380622,1.480664,1.16395,-0.259401,1.934536,1.779841,-0.504296,1.878114,2.157392,-0.413665,NOTCONVERGED,,,7.546175,6.577195
-1,-8,-2,-18,2.258702,1.453895,-0.395936,1.47324,1.158144,-0.258217,1.931687,1.777949,-0.504143,1.87486,2.152367,-0.412654,CONVERGED,,,7.538489,6.542355
1,-8,-2,-18,2.157299,1.377363,-0.394444,1.476798,1.156983,-0.257658,1.947241,1.780844,-0.504082,1.882579,2.153724,-0.412357,CONVERGED,,,7.463917,6.468914
3,-8,-2,-18,2.035897,1.291265,-0.389817,1.47909,1.154662,-0.256726,1.963778,1.782519,-0.503218,1.891798,2.155242,-0.41196,CONVERGED,,,7.370563,6.383688
5,-8,-2,-18,1.90536,1.201033,-0.383728,1.482134,1.152855,-0.255837,1.982635,1.785014,-0.502771,1.900972,2.156596,-0.411563,CONVERGED,,,7.271101,6.295498
-5,-6,-2,-18,0.867814,0.900915,-0.306217,1.576552,1.179153,-0.272885,2.222155,1.898572,-0.514947,1.953067,2.143834,-0.403343,CONVERGED,,,6.619588,6.122474
-3,-6,-2,-18,2.239173,1.470775,-0.379102,1.459623,1.133641,-0.265821,1.931539,1.776751,-0.50335,1.877741,2.152031,-0.412473,NOTCONVERGED,,,7.508076,6.533198
-1,-6,-2,-18,2.250218,1.450479,-0.394487,1.454254,1.129711,-0.265002,1.92762,1.774672,-0.503239,1.872354,2.14551,-0.411097,CONVERGED,,,7.504446,6.500372
1,-6,-2,-18,2.151404,1.375398,-0.39379,1.463053,1.132039,-0.265437,1.943362,1.777799,-0.50319,1.879509,2.147212,-0.410917,CONVERGED,,,7.437328,6.432448
3,-6,-2,-18,2.031787,1.290346,-0.389676,1.472275,1.13432,-0.26552,1.960024,1.779895,-0.502561,1.888026,2.149239,-0.410743,CONVERGED,,,7.352112,6.3538
5,-6,-2,-18,1.899967,1.198756,-0.382748,1.483227,1.137205,-0.26583,1.980538,1.783399,-0.502386,1.897432,2.15136,-0.410769,CONVERGED,,,7.261164,6.27072
-5,-4,-2,-18,0.86596,0.89767,-0.304618,1.529465,1.134593,-0.276606,2.213505,1.892212,-0.513445,1.944916,2.128857,-0.400411,NOTCONVERGED,,,6.553846,6.053332
-3,-4,-2,-18,2.272129,1.48722,-0.38369,1.387632,1.071907,-0.26449,1.917545,1.769453,-0.502019,1.873826,2.13843,-0.40989,NOTCONVERGED,,,7.451132,6.46701
-1,-4,-2,-18,2.239162,1.446258,-0.393228,1.38944,1.071656,-0.264369,1.920947,1.768841,-0.501606,1.873745,2.135969,-0.409135,CONVERGED,,,7.423294,6.422724
1,-4,-2,-18,2.138981,1.370632,-0.392246,1.399079,1.074817,-0.264925,1.935408,1.771004,-0.501149,1.880642,2.137465,-0.40892,CONVERGED,,,7.35411,6.353918
3,-4,-2,-18,2.020697,1.285699,-0.388063,1.411285,1.079022,-0.265717,1.953358,1.774148,-0.500936,1.889136,2.139785,-0.408967,CONVERGED,,,7.274476,6.278654
5,-4,-2,-18,1.890499,1.195413,-0.381875,1.423952,1.083657,-0.266669,1.972753,1.777142,-0.500611,1.896806,2.140857,-0.408369,CONVERGED,,,7.18401,6.197069
-5,-2,-2,-18,0.865498,0.894309,-0.302437,1.450818,1.070844,-0.275306,2.200158,1.882523,-0.511156,1.935388,2.108487,-0.3964,NOTCONVERGED,,,6.451862,5.956163
-3,-2,-2,-18,2.271185,1.48783,-0.384014,1.304412,1.002498,-0.260854,1.907878,1.762292,-0.500239,1.873917,2.125328,-0.407206,NOTCONVERGED,,,7.357392,6.377948
-1,-2,-2,-18,2.227025,1.441647,-0.391996,1.309055,1.003911,-0.261209,1.913148,1.762239,-0.4998,1.875676,2.124608,-0.406842,CONVERGED,,,7.324904,6.332405
1,-2,-2,-18,2.126013,1.365232,-0.390561,1.318686,1.007175,-0.26169,1.928364,1.764804,-0.499524,1.882674,2.12617,-0.406808,CONVERGED,,,7.255737,6.263381
3,-2,-2,-18,2.007933,1.280508,-0.386449,1.331271,1.012163,-0.262787,1.945722,1.767535,-0.499125,1.889379,2.126994,-0.406362,CONVERGED,,,7.174305,6.1872
5,-2,-2,-18,1.877303,1.19002,-0.38017,1.343748,1.016697,-0.263562,1.964563,1.769719,-0.4984,1.897665,2.128299,-0.405798,CONVERGED,,,7.083279,6.104735
-5,0,-2,-18,0.866569,0.886106,-0.296227,1.322379,1.004786,-0.276912,2.135704,1.83794,-0.500737,1.67725,1.878222,-0.355146,NOTCONVERGED,,,6.001902,5.607054
-3,0,-2,-18,2.262234,1.484822,-0.382904,1.213509,0.928386,-0.255777,1.89801,1.754231,-0.497973,1.874989,2.111876,-0.404334,NOTCONVERGED,,,7.248742,6.279315
-1,0,-2,-18,2.211169,1.434873,-0.389687,1.218338,0.929894,-0.256005,1.904922,1.754806,-0.497693,1.877012,2.111022,-0.403864,CONVERGED,,,7.211441,6.230595
1,0,-2,-18,2.111022,1.359209,-0.388697,1.229068,0.934206,-0.256952,1.919975,1.757409,-0.497436,1.883446,2.112324,-0.403618,CONVERGED,,,7.143511,6.163148
3,0,-2,-18,1.993541,1.27454,-0.384598,1.241168,0.93906,-0.25792,1.937715,1.760467,-0.497225,1.889345,2.112126,-0.403161,CONVERGED,,,7.061769,6.086193
5,0,-2,-18,1.862759,1.183657,-0.377929,1.25404,0.94423,-0.259,1.956932,1.763253,-0.49674,1.897198,2.113477,-0.402642,CONVERGED,,,6.970929,6.004617
-5,-10,0,-18,0.877656,0.890372,-0.29397,0.711761,0.859892,-0.265208,1.916904,1.639917,-0.477937,1.454554,1.667659,-0.328756,NOTCONVERGED,,,4.960875,5.05784
-3,-10,0,-18,2.266863,1.49607,-0.387743,0.599883,0.736914,-0.230736,1.739494,1.590668,-0.483354,2.015091,2.195702,-0.409286,NOTCONVERGED,,,6.621331,6.019354
-1,-10,0,-18,2.204976,1.437224,-0.391973,0.564664,0.71013,-0.224737,1.757146,1.597178,-0.483958,2.068028,2.227887,-0.413422,NOTCONVERGED,,,6.594814,5.972419
1,-10,0,-18,2.104244,1.36081,-0.39089,0.562581,0.708524,-0.224617,1.773126,1.601114,-0.483727,2.076184,2.228175,-0.412533,NOTCONVERGED,,,6.516135,5.898623
3,-10,0,-18,1.98449,1.274316,-0.38603,0.55917,0.705601,-0.224016,1.792128,1.605612,-0.483538,2.085556,2.22999,-0.412231,NOTCONVERGED,,,6.421344,5.815519
5,-10,0,-18,1.853529,1.183285,-0.379416,0.565067,0.710483,-0.225526,1.810846,1.609179,-0.48307,2.079553,2.218118,-0.408649,NOTCONVERGED,,,6.308995,5.721065
-5,-8,0,-18,0.924516,0.938554,-0.313917,1.555647,1.184342,-0.259823,1.98743,1.703299,-0.496276,1.937572,2.128134,-0.399694,NOTCONVERGED,,,6.405165,5.954329
-3,-8,0,-18,2.337859,1.543764,-0.401437,1.483295,1.164849,-0.259364,1.735944,1.601244,-0.488544,1.887717,2.16077,-0.413493,CONVERGED,,,7.444815,6.470627
-1,-8,0,-18,2.266035,1.481977,-0.405259,1.484658,1.163148,-0.258894,1.747479,1.604447,-0.488547,1.89313,2.161386,-0.413193,CONVERGED,,,7.391302,6.410958
1,-8,0,-18,2.158428,1.401162,-0.403323,1.487187,1.16127,-0.258056,1.763736,1.608639,-0.488257,1.901192,2.162678,-0.412876,CONVERGED,,,7.310543,6.333749
3,-8,0,-18,2.032608,1.311013,-0.397957,1.488818,1.158618,-0.257222,1.782571,1.613316,-0.487926,1.909877,2.163452,-0.412369,CONVERGED,,,7.213874,6.246399
5,-8,0,-18,1.896598,1.215959,-0.390586,1.487793,1.154002,-0.255675,1.803385,1.618328,-0.487696,1.919322,2.16386,-0.411733,CONVERGED,,,7.107098,6.152149
-5,-6,0,-18,0.925192,0.938555,-0.313788,1.586848,1.185534,-0.274539,1.99144,1.70632,-0.497155,1.960527,2.148122,-0.403474,NOTCONVERGED,,,6.464007,5.978531
-3,-6,0,-18,2.332779,1.542483,-0.401013,1.46254,1.135298,-0.266208,1.732262,1.598346,-0.487876,1.885919,2.154454,-0.41222,CONVERGED,,,7.4135,6.430581
-1,-6,0,-18,2.260741,1.480389,-0.404831,1.468692,1.13656,-0.266207,1.743873,1.601733,-0.487855,1.890639,2.155254,-0.412034,CONVERGED,,,7.363945,6.373936
1,-6,0,-18,2.153563,1.39955,-0.402749,1.476855,1.138334,-0.266311,1.759816,1.605811,-0.487444,1.89827,2.156711,-0.411802,CONVERGED,,,7.288504,6.300406
3,-6,0,-18,2.028445,1.309803,-0.397571,1.487711,1.141567,-0.266974,1.780013,1.611506,-0.487518,1.90648,2.158436,-0.411479,CONVERGED,,,7.202649,6.221312
5,-6,0,-18,1.893556,1.215255,-0.3904,1.497989,1.144157,-0.267188,1.800922,1.616728,-0.487331,1.914951,2.159533,-0.410986,CONVERGED,,,7.107418,6.135673
-5,-4,0,-18,0.922478,0.935757,-0.312458,1.539992,1.140953,-0.2782,1.983166,1.700246,-0.49553,1.952066,2.132365,-0.400352,NOTCONVERGED,,,6.397702,5.909321
-3,-4,0,-18,2.322791,1.538656,-0.39985,1.398021,1.077409,-0.265691,1.725911,1.593199,-0.486338,1.886967,2.144971,-0.410431,CONVERGED,,,7.33369,6.354235
-1,-4,0,-18,2.248919,1.475704,-0.403339,1.405288,1.079639,-0.266079,1.737064,1.595849,-0.486027,1.891511,2.145102,-0.40992,CONVERGED,,,7.282782,6.296294
1,-4,0,-18,2.141373,1.394564,-0.401147,1.415762,1.083138,-0.266706,1.75469,1.601211,-0.486151,1.898424,2.146538,-0.409587,CONVERGED,,,7.210249,6.225451
3,-4,0,-18,2.017193,1.305015,-0.395978,1.42738,1.087033,-0.267372,1.774058,1.606407,-0.485988,1.906013,2.147647,-0.40914,CONVERGED,,,7.124644,6.146102
5,-4,0,-18,1.88229,1.210251,-0.388624,1.440257,1.091452,-0.268162,1.794584,1.611363,-0.485668,1.913862,2.148197,-0.408788,CONVERGED,,,7.030993,6.061263
-5,-2,0,-18,0.923,0.932678,-0.309971,1.454842,1.079421,-0.278209,1.96075,1.684698,-0.491681,1.89494,2.0731,-0.388953,NOTCONVERGED,,,6.233532,5.769897
-3,-2,0,-18,2.309753,1.533582,-0.398304,1.316494,1.009017,-0.262362,1.718536,1.58686,-0.484428,1.88777,2.132106,-0.40745,CONVERGED,,,7.232553,6.261565
-1,-2,0,-18,2.235506,1.470288,-0.401748,1.323689,1.011298,-0.262689,1.729965,1.589796,-0.484192,1.892612,2.133116,-0.407436,CONVERGED,,,7.181772,6.204498
1,-2,0,-18,2.128122,1.389159,-0.399528,1.335024,1.015656,-0.263671,1.747648,1.595017,-0.484302,1.899009,2.133844,-0.407009,CONVERGED,,,7.109803,6.133676
3,-2,0,-18,2.003466,1.299175,-0.394073,1.347099,1.020066,-0.264471,1.767058,1.600282,-0.484166,1.906452,2.134889,-0.406493,CONVERGED,,,7.024075,6.054412
5,-2,0,-18,1.869641,1.204858,-0.386887,1.360451,1.025232,-0.2655,1.788108,1.605591,-0.483967,1.912931,2.134599,-0.405932,CONVERGED,,,6.931131,5.97028
-5,0,0,-18,0.923921,0.919585,-0.299373,1.289725,1.015803,-0.284273,1.870065,1.622517,-0.476246,1.349582,1.605151,-0.328149,NOTCONVERGED,,,5.433293,5.163056
-3,0,0,-18,2.296479,1.528126,-0.396773,1.225978,0.935141,-0.257393,1.711252,1.580447,-0.48259,1.888553,2.118115,-0.404519,CONVERGED,,,7.122262,6.161829
-1,0,0,-18,2.220744,1.464027,-0.399816,1.234528,0.938512,-0.258171,1.723226,1.583711,-0.482452,1.89285,2.118665,-0.404356,CONVERGED,,,7.071348,6.104915
1,0,0,-18,2.113179,1.382734,-0.397498,1.244956,0.942465,-0.258886,1.74054,1.588746,-0.482483,1.899524,2.11976,-0.403999,CONVERGED,,,6.998199,6.033705
3,0,0,-18,1.989986,1.293499,-0.392415,1.256723,0.947106,-0.259736,1.759796,1.593881,-0.482321,1.905109,2.119041,-0.40344,CONVERGED,,,6.911614,5.953527
5,0,0,-18,1.855014,1.198508,-0.384759,1.27109,0.953021,-0.261116,1.780211,1.598737,-0.481913,1.912534,2.119588,-0.402797,CONVERGED,,,6.818849,5.869854
-5,-10,-10,-16,0.720715,0.773716,-0.271129,0.533637,0.681588,-0.21797,3.012093,2.544285,-0.531978,2.167876,2.212658,-0.427449,NOTCONVERGED,,,6.434321,6.212247
-3,-10,-10,-16,0.756108,0.742447,-0.25951,0.534277,0.682202,-0.21823,2.93221,2.494301,-0.529975,2.162349,2.215293,-0.42869,NOTCONVERGED,,,6.384944,6.134243
-1,-10,-10,-16,2.10688,1.287254,-0.341394,0.590815,0.730273,-0.22795,2.529726,2.338092,-0.524874,1.918563,2.10975,-0.420011,NOTCONVERGED,,,7.145984,6.465369
1,-10,-10,-16,2.065759,1.247446,-0.34969,0.589685,0.729454,-0.228026,2.53163,2.333015,-0.523853,1.923131,2.110861,-0.41949,NOTCONVERGED,,,7.110205,6.420776
3,-10,-10,-16,1.97572,1.18307,-0.350252,0.58423,0.725461,-0.22748,2.539693,2.326187,-0.522269,1.940449,2.120752,-0.42089,NOTCONVERGED,,,7.040092,6.35547
5,-10,-10,-16,1.867038,1.109542,-0.34757,0.577851,0.720382,-0.22664,2.550291,2.318956,-0.520701,1.960147,2.130728,-0.421821,NOTCONVERGED,,,6.955327,6.279608
-5,-8,-10,-16,0.729778,0.781869,-0.272767,1.155479,0.961113,-0.224789,3.000892,2.559025,-0.538794,1.927363,2.066819,-0.410929,NOTCONVERGED,,,6.813512,6.368826
-3,-8,-10,-16,0.770049,0.753174,-0.261573,1.152476,0.959466,-0.224738,2.912191,2.502677,-0.534872,1.925459,2.070805,-0.412233,NOTCONVERGED,,,6.760175,6.286122
-1,-8,-10,-16,2.171916,1.327733,-0.353267,1.460631,1.169305,-0.263112,2.547902,2.374921,-0.533967,1.745531,2.030693,-0.413531,CONVERGED,,,7.92598,6.902652
1,-8,-10,-16,2.121627,1.282786,-0.360382,1.463372,1.168822,-0.262936,2.550376,2.36919,-0.532667,1.75081,2.032761,-0.413629,CONVERGED,,,7.886185,6.853559
3,-8,-10,-16,2.025643,1.21528,-0.360374,1.469461,1.169286,-0.262732,2.557731,2.362031,-0.530997,1.760572,2.037049,-0.41399,CONVERGED,,,7.813407,6.783646
