#nWings;aws;awa;alpha0;alpha1;alpha2;alpha3;center0;center1;center2;center3;backgroundMesh;profileMesh0;profileMesh1;profileMesh2;profileMesh3;targetMesh;targetCase;Account;cores;walltime;DirName;jobNameID;Cx0Mean;Cx0Var;Cy0Mean;Cy0Var;Cm0Mean;Cm0Var; Cx1Mean;Cx1Var;Cy1Mean;Cy1Var;Cm1Mean;Cm1Var; Cx2Mean;Cx2Var;Cy2Mean;Cy2Var;Cm2Mean;Cm2Var; Cx3Mean;Cx3Var;Cy3Mean;Cy3Var;Cm3Mean;Cm3Var;;;;Total ;1284
4;7.7;51.3;3;-8;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID10;Case3_Run0to250_ID10;2.031911;0.001207;1.215688;0.000296;-0.360591;0.000133;1.446826;0.00126;1.145955;0.001837;-0.256297;0.00056;2.565264;0.00167;2.365347;0.001351;-0.53153;0.00037;1.801159;0.006573;2.129471;0.0056;-0.38927;0.001048;NOTCONVERGED;;;;
4;7.7;51.3;5;-8;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID11;Case3_Run0to250_ID11;1.907417;0.002685;1.13674;0.000966;-0.356583;0.000394;1.462136;0.001432;1.16097;0.003178;-0.260283;0.000932;2.563508;0.002622;2.349349;0.001929;-0.527983;0.000481;1.747221;0.016573;2.07681;0.01572;-0.379013;0.003101;NOTCONVERGED;;;;
4;7.7;51.3;-5;-6;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID12;Case3_Run0to250_ID12;0.701529;0.000413;0.750557;0.000582;-0.25816;0.000231;1.441844;0.000292;1.244522;0.001351;-0.304554;0.00066;2.866337;0.000792;2.466068;0.001035;-0.524126;0.000426;0.76647;0.010324;1.320884;0.02185;-0.362422;0.007521;NOTCONVERGED;;;;
4;7.7;51.3;-3;-6;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID13;Case3_Run0to250_ID13;0.759104;0.000619;0.730982;0.000857;-0.247786;0.000411;1.435741;0.000295;1.24001;0.001307;-0.303825;0.000637;2.76653;0.000603;2.402467;0.000908;-0.518453;0.000416;0.771389;0.010192;1.324847;0.022225;-0.361904;0.0079;NOTCONVERGED;;;;
4;7.7;51.3;-1;-6;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID14;Case3_Run0to250_ID14;2.165997;0.001564;1.323467;0.000531;-0.352106;0.000257;1.3953;0.000165;1.103057;0.001052;-0.259845;0.000364;2.547078;0.00171;2.371064;0.001225;-0.53284;0.000349;1.77924;0.008769;2.109854;0.007846;-0.386425;0.001392;NOTCONVERGED;;;;
4;7.7;51.3;1;-6;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID15;Case3_Run0to250_ID15;2.119096;0.001292;1.279882;0.000354;-0.359713;0.000142;1.400025;0.000264;1.102795;0.000678;-0.259522;0.000225;2.552077;0.001259;2.367724;0.000774;-0.532258;0.000211;1.793278;0.006144;2.119222;0.005626;-0.387672;0.00112;NOTCONVERGED;;;;
4;7.7;51.3;3;-6;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID16;Case3_Run0to250_ID16;2.009514;0.003371;1.209035;0.001036;-0.358421;0.000365;1.407766;0.000695;1.114816;0.002259;-0.263227;0.000831;2.543501;0.003243;2.348687;0.002507;-0.527779;0.000571;1.728163;0.018967;2.057851;0.017159;-0.376146;0.003111;NOTCONVERGED;;;;
4;7.7;51.3;5;-6;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID17;Case3_Run0to250_ID17;1.891302;0.003254;1.131332;0.000759;-0.354689;0.000187;1.417508;0.000641;1.121179;0.002165;-0.264712;0.000834;2.549141;0.004183;2.338039;0.002996;-0.52546;0.000755;1.708198;0.01689;2.031894;0.013899;-0.370577;0.002182;NOTCONVERGED;;;;
4;7.7;51.3;-5;-4;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID18;Case3_Run0to250_ID18;0.69604;0.000605;0.745136;0.000966;-0.255924;0.000475;1.34197;0.0003;1.154755;0.001294;-0.297736;0.000645;2.849754;0.001122;2.45309;0.00136;-0.52183;0.000586;0.762361;0.010731;1.318613;0.022389;-0.364757;0.007615;NOTCONVERGED;;;;
4;7.7;51.3;-3;-4;-10;-20;(20,9.901,0);(68,9.901,0);(20,-9.901,0);(68,-9.901,0);4profiles700x720_NewRefined750;New_flap25;New_flap25;New_flap25;New_flap25;background4Wings;wing;FF4_AYRO;2;32;/g100_work/FF4_AYRO/AUTO_test_dev_kch/RUNS/Case3_Run0to250/ID19;Case3_Run0to250_ID19;0.75452;0.000638;0.727165;0.000911;-0.246145;0.000473;1.335257;0.000336;1.149888;0.001309;-0.29669;0.000653;2.749977;0.000815;2.389342;0.001028;-0.515937;0.000396;0.766019;0.010502;1.321837;0.021886;-0.364318;0.007403;NOTCONVERGED;;;;
